epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1948.1,0.54703,0.317,0.95584,0.99313,0.99756,0.99449,0.91198,0.44005,0.22767,0.85225,0.0004555,0.0004555,0.0004555
57,1983.08,0.54006,0.31552,0.95233,0.99616,0.99743,0.99486,0.91244,0.44787,0.22915,0.8571,0.0004456,0.0004456,0.0004456
58,2017.95,0.5409,0.31342,0.9499,0.99661,0.99832,0.99498,0.91391,0.43787,0.22781,0.84897,0.0004357,0.0004357,0.0004357
59,2052.65,0.53238,0.30984,0.94283,0.99779,0.9978,0.99493,0.91966,0.42482,0.2174,0.84219,0.0004258,0.0004258,0.0004258
60,2087.61,0.52513,0.30486,0.93978,0.99874,0.99672,0.99489,0.91985,0.4203,0.21742,0.84109,0.0004159,0.0004159,0.0004159
61,2122.56,0.52683,0.30288,0.94726,0.99701,0.99655,0.99498,0.92031,0.42068,0.22015,0.84606,0.000406,0.000406,0.000406
62,2157.69,0.52404,0.30017,0.9429,0.99623,0.99865,0.99495,0.91951,0.41595,0.21656,0.84378,0.0003961,0.0003961,0.0003961
63,2192.53,0.51273,0.29492,0.94039,0.99531,0.99865,0.99491,0.92682,0.40343,0.21304,0.83866,0.0003862,0.0003862,0.0003862
64,2227.34,0.50408,0.28982,0.93932,0.99722,0.99799,0.99491,0.92136,0.40494,0.21539,0.83705,0.0003763,0.0003763,0.0003763
65,2262.65,0.51045,0.29985,0.93788,0.99715,0.9968,0.99499,0.93072,0.3949,0.20885,0.83022,0.0003664,0.0003664,0.0003664
66,2297.43,0.513,0.30094,0.93521,0.99602,0.99836,0.99483,0.93049,0.39266,0.20607,0.83236,0.0003565,0.0003565,0.0003565
67,2332.95,0.50321,0.2912,0.93385,0.99575,0.99609,0.99471,0.92592,0.40275,0.20745,0.83555,0.0003466,0.0003466,0.0003466
68,2367.5,0.49395,0.28885,0.9273,0.99766,0.9978,0.99495,0.93342,0.38594,0.2057,0.83071,0.0003367,0.0003367,0.0003367
69,2403.05,0.49481,0.28853,0.93214,0.99766,0.99741,0.99488,0.93099,0.38634,0.20575,0.8311,0.0003268,0.0003268,0.0003268
70,2438.48,0.495,0.28729,0.93238,0.9985,0.99696,0.99496,0.93333,0.38092,0.20355,0.83055,0.0003169,0.0003169,0.0003169
71,2474.35,0.48628,0.28004,0.93139,0.99763,0.99796,0.995,0.93546,0.37232,0.19945,0.82559,0.000307,0.000307,0.000307
